customer_id,signup_date,region,acquisition_channel,preferred_device,sessions_last_30d,orders_last_90d,avg_order_value_usd,discount_rate,support_tickets_last_90d,return_rate,nps_score,tenure_months,gross_revenue_12m_usd,last_purchase_date,churned
100000,2025-05-13,West,Social,Mobile,7,1,35.23,0.02,0,0.216,22.0,7,51.62,2025-10-26,1
100001,2024-07-28,East,Social,Desktop,7,4,34.2,0.139,0,0.055,-3.0,17,125.17,2025-12-13,0
100002,2024-07-12,Central,Referral,Desktop,5,2,53.03,0.022,0,0.116,41.0,17,126.86,2025-12-28,0
100003,2024-04-05,West,Social,Desktop,9,1,30.44,0.192,0,0.011,52.0,21,31.73,2025-12-12,0
100004,2024-01-04,North,Organic,Desktop,11,0,34.07,0.177,0,0.107,33.0,24,0.0,,0
100005,2025-01-01,Central,Organic,Mobile,7,3,30.9,0.13,0,0.223,13.0,12,124.11,2025-09-11,0
100006,2025-12-22,West,Social,Mobile,5,0,45.16,0.159,0,0.088,37.0,1,0.0,,0
100007,2024-06-09,West,Paid Search,Mobile,17,3,44.94,0.246,1,0.087,64.0,19,198.42,2025-09-17,0
100008,2024-11-17,North,Organic,Mobile,6,2,53.27,0.079,0,0.303,,13,81.24,2025-11-12,0
100009,2025-11-14,East,Paid Search,Desktop,8,1,35.01,0.122,0,0.042,34.0,1,36.03,2025-12-28,0
100010,2025-07-18,South,Referral,,12,2,33.72,0.16,0,0.163,86.0,5,69.9,2025-09-14,0
100011,2024-01-03,Central,Referral,Tablet,9,2,48.12,0.037,0,0.095,100.0,24,126.43,2025-10-05,0
100012,2024-12-31,West,Social,Mobile,11,1,31.83,0.041,1,0.143,18.0,12,45.03,2025-10-13,0
100013,2024-04-14,Central,Paid Search,Mobile,8,3,32.39,0.193,0,0.106,29.0,20,113.25,2025-12-23,0
100014,2024-06-29,East,Organic,Mobile,4,2,22.59,0.199,0,0.083,52.0,18,37.82,2025-09-07,0
100015,2024-06-29,South,Paid Search,Mobile,10,2,40.34,0.137,1,0.072,8.0,18,106.27,2025-12-22,0
100016,2025-03-23,East,Paid Search,Mobile,13,0,60.26,0.176,1,0.062,52.0,9,0.0,,1
100017,2024-05-25,North,Social,Mobile,7,1,29.01,0.434,1,0.04,,19,21.3,2025-12-22,0
100018,2024-07-03,Central,Social,Mobile,7,3,48.09,0.161,2,0.179,37.0,18,158.06,2025-09-10,0
100019,2024-06-14,West,Organic,Desktop,11,1,46.74,0.183,1,0.171,16.0,18,60.05,2025-09-23,0
100020,2024-09-17,West,Organic,Mobile,8,3,25.03,0.242,0,0.094,15.0,15,129.9,2025-12-18,0
100021,2025-04-24,South,Organic,Mobile,8,2,28.1,0.204,0,0.085,-15.0,8,49.69,2025-11-10,1
100022,2024-10-19,Central,Email,Desktop,6,2,33.32,0.448,1,0.347,68.0,14,85.59,2025-10-29,0
100023,2024-08-27,Central,Social,Mobile,8,4,33.06,0.179,1,0.097,54.0,16,118.38,2025-10-26,1
100024,2025-01-13,West,Organic,Desktop,9,5,53.44,0.099,1,0.042,47.0,11,234.69,2025-12-07,0
100025,2025-03-25,North,Email,Desktop,6,0,78.31,0.114,0,0.117,44.0,9,0.0,,0
100026,2024-01-12,East,Paid Search,Mobile,10,2,26.22,0.246,0,0.023,-23.0,23,69.67,2025-12-28,0
100027,2025-10-12,North,Paid Search,Desktop,8,0,41.55,0.079,1,0.058,12.0,2,0.0,,1
100028,2025-10-31,North,Email,Desktop,8,2,36.31,0.018,0,0.107,29.0,2,83.39,2025-10-18,0
100029,2025-03-16,West,Organic,Desktop,13,4,33.32,0.082,0,0.059,8.0,9,181.44,2025-09-05,0
100030,2025-02-24,West,Organic,Desktop,11,4,48.81,0.274,0,0.06,-7.0,10,222.85,2025-09-19,0
100031,2025-05-22,Central,Social,Desktop,6,1,41.84,0.18,0,0.094,11.0,7,50.39,2025-12-03,0
100032,2024-11-18,South,Organic,,8,2,21.72,0.214,0,0.118,36.0,13,46.57,2025-12-21,0
100033,2024-09-24,South,Social,Mobile,11,3,35.2,0.044,0,0.202,36.0,15,100.5,2025-10-14,0
100034,2024-09-14,East,Organic,Desktop,10,1,31.4,0.038,2,0.18,51.0,15,59.11,2025-12-05,0
100035,2024-04-26,North,Organic,Tablet,5,2,42.14,0.071,1,0.129,82.0,20,145.78,2025-10-11,0
100036,2025-09-06,North,Organic,Mobile,7,2,56.93,0.191,0,0.14,52.0,3,197.65,2025-09-06,0
100037,2024-08-22,East,Paid Search,Desktop,9,1,51.59,0.231,0,0.189,31.0,16,51.79,2025-09-07,0
100038,2024-07-26,South,Organic,Mobile,9,3,37.94,0.037,0,0.1,80.0,17,118.42,2025-12-01,0
100039,2025-12-05,West,Organic,Desktop,7,3,40.98,0.192,0,0.073,-5.0,1,129.22,2025-11-03,0
100040,2025-01-05,East,Referral,Tablet,16,6,43.2,0.238,1,0.042,-21.0,12,388.5,2025-10-08,0
100041,2025-03-30,Central,Paid Search,Mobile,13,1,44.91,0.398,0,0.121,13.0,9,48.31,2025-12-03,0
100042,2024-06-28,West,Paid Search,Mobile,8,3,48.14,0.136,0,0.23,55.0,18,150.11,2025-10-25,0
100043,2024-07-21,South,Organic,Mobile,10,3,35.11,0.058,0,0.286,39.0,17,141.27,2025-11-18,0
100044,2025-06-16,Central,Paid Search,Mobile,7,2,40.76,0.12,0,0.038,7.0,6,81.21,2025-10-24,0
100045,2024-11-25,Central,Organic,Mobile,2,2,25.76,0.171,0,0.064,17.0,13,43.14,2025-10-16,0
100046,2024-04-18,South,Social,Mobile,9,1,28.51,0.396,0,0.085,4.0,20,31.71,2025-09-17,0
100047,2025-09-02,South,Organic,Mobile,9,1,44.01,0.06,0,0.227,4.0,4,47.34,2025-11-05,1
100048,2024-10-21,West,Email,Mobile,8,1,52.47,0.309,0,0.365,74.0,14,58.3,2025-11-27,0
100049,2025-05-03,North,Email,Mobile,4,0,41.37,0.15,1,0.156,27.0,8,0.0,,0
100050,2024-09-06,North,Organic,Desktop,8,2,69.9,0.205,2,0.091,72.0,16,129.8,2025-10-09,0
100051,2025-02-13,North,Organic,,13,1,53.26,0.138,0,0.064,13.0,10,62.66,2025-09-26,1
100052,2025-07-20,West,Organic,Desktop,7,4,44.52,0.638,0,0.09,47.0,5,118.32,2025-11-12,0
100053,2025-10-09,West,Social,Desktop,10,2,32.76,0.127,1,0.056,36.0,2,54.02,2025-09-19,0
100054,2024-05-31,West,Organic,Desktop,7,2,71.09,0.037,0,0.028,57.0,19,177.11,2025-11-05,0
100055,2025-05-06,West,Referral,Mobile,10,5,53.97,0.181,0,0.171,41.0,7,376.58,2025-11-04,0
100056,2025-10-30,East,Referral,Mobile,6,2,66.65,0.149,1,0.114,55.0,2,126.39,2025-12-26,0
100057,2025-04-14,East,Referral,,6,3,73.89,0.106,0,0.177,49.0,8,249.86,2025-10-30,0
100058,2024-04-14,North,Paid Search,Mobile,12,2,28.66,0.099,0,0.088,8.0,20,65.17,2025-10-21,0
100059,2024-05-18,North,Email,Mobile,7,1,28.13,0.229,1,0.094,49.0,19,21.89,2025-11-03,0
100060,2024-05-28,West,Organic,Desktop,3,2,21.32,0.358,0,0.038,32.0,19,62.67,2025-10-28,1
100061,2024-03-18,East,Paid Search,Desktop,11,3,58.61,0.074,1,0.016,11.0,21,204.54,2025-10-29,0
100062,2025-07-04,East,Paid Search,Mobile,6,2,47.04,0.086,1,0.04,48.0,6,109.25,2025-10-09,1
100063,2025-12-06,West,Email,Mobile,7,2,42.6,0.201,0,0.053,58.0,1,108.68,2025-12-19,0
100064,2025-01-12,West,Social,Mobile,11,1,28.24,0.228,0,0.094,23.0,11,22.0,2025-10-29,1
100065,2025-03-13,East,Referral,Desktop,10,2,45.49,0.301,0,0.103,26.0,9,128.06,2025-11-09,0
100066,2025-07-19,East,Organic,Desktop,10,2,46.34,0.077,1,0.114,-4.0,5,146.58,2025-11-20,0
100067,2024-10-30,South,Email,Mobile,7,2,45.4,0.197,0,0.086,,14,109.46,2025-11-08,0
100068,2024-12-11,North,Paid Search,Mobile,8,3,44.36,0.148,1,0.037,,12,177.04,2025-10-11,0
100069,2025-03-06,East,Paid Search,Mobile,9,2,47.13,0.166,0,0.066,55.0,10,102.32,2025-09-03,0
100070,2024-08-10,North,Email,Mobile,8,4,38.92,0.291,0,0.129,,16,216.86,2025-12-05,0
100071,2024-02-15,East,Paid Search,Desktop,9,6,63.09,0.17,1,0.012,66.0,22,362.22,2025-12-26,0
100072,2025-02-19,Central,Paid Search,Desktop,10,4,53.01,0.05,1,0.013,25.0,10,258.34,2025-11-20,0
100073,2025-08-23,South,Social,Mobile,12,6,25.12,0.29,0,0.133,30.0,4,170.41,2025-11-24,0
100074,2024-02-23,North,Organic,Mobile,12,2,58.87,0.049,0,0.161,28.0,22,143.25,2025-12-23,0
100075,2024-06-07,South,Paid Search,Mobile,9,2,52.41,0.117,0,0.225,60.0,19,164.12,2025-11-02,0
100076,2024-07-11,South,Organic,Mobile,10,1,41.13,0.286,0,0.294,11.0,17,79.93,2025-10-30,1
100077,2025-08-11,West,Organic,Mobile,13,3,44.4,0.145,1,0.156,27.0,4,153.75,2025-09-21,0
100078,2025-01-03,East,Referral,Mobile,8,2,64.09,0.061,0,0.097,21.0,12,176.34,2025-10-09,0
100079,2025-01-25,West,Social,Desktop,3,1,29.18,0.129,0,0.015,21.0,11,28.49,2025-11-06,0
100080,2025-04-16,West,Paid Search,,11,2,59.84,0.197,0,0.215,36.0,8,180.25,2025-10-14,0
100081,2024-07-21,East,Paid Search,Mobile,8,1,34.25,0.065,0,0.135,32.0,17,36.76,2025-11-27,0
100082,2025-06-05,Central,Paid Search,Mobile,6,3,52.12,0.222,1,0.058,57.0,6,395.79,2025-12-13,1
100083,2024-01-23,North,Social,Mobile,7,2,40.03,0.227,1,0.071,30.0,23,60.67,2025-10-28,0
100084,2024-03-24,North,Email,Desktop,10,4,32.95,0.126,0,0.187,49.0,21,269.4,2025-11-02,0
100085,2025-08-19,North,Email,Mobile,13,5,35.07,0.165,1,0.041,35.0,4,264.64,2025-11-26,0
100086,2025-04-26,West,Paid Search,Desktop,4,1,65.16,0.268,0,0.089,70.0,8,55.74,2025-09-15,0
100087,2024-05-08,East,Paid Search,Desktop,8,2,42.73,0.297,0,0.161,27.0,20,170.97,2025-10-27,0
100088,2024-11-16,North,Paid Search,Mobile,9,0,34.53,0.191,0,0.093,28.0,13,0.0,,0
100089,2024-02-07,East,Social,Mobile,7,0,30.91,0.27,0,0.086,54.0,23,0.0,,0
100090,2025-05-06,North,Paid Search,Tablet,9,4,51.78,0.138,0,0.039,27.0,7,178.19,2025-11-27,0
100091,2025-07-06,West,Social,Mobile,9,5,64.99,0.011,0,0.113,47.0,5,390.08,2025-10-29,0
100092,2024-07-22,East,Social,Mobile,10,0,20.24,0.017,0,0.102,93.0,17,0.0,,0
100093,2024-09-12,South,Paid Search,,11,3,94.32,0.289,0,0.03,11.0,15,391.19,2025-10-19,0
100094,2024-06-22,South,Paid Search,Desktop,9,6,45.58,0.177,0,0.163,73.0,18,589.85,2025-09-20,0
100095,2024-10-11,West,Paid Search,Mobile,10,3,49.73,0.351,2,0.2,16.0,14,143.9,2025-12-27,0
100096,2024-07-18,South,Organic,Mobile,10,2,31.95,0.443,2,0.253,61.0,17,33.92,2025-10-06,0
100097,2024-06-29,North,Organic,Mobile,10,2,39.86,0.169,0,0.052,52.0,18,110.24,2025-10-13,0
100098,2024-11-10,North,Referral,Desktop,6,4,51.68,0.084,1,0.073,46.0,13,218.61,2025-09-15,1
100099,2025-09-20,Central,Paid Search,Mobile,4,1,28.59,0.038,0,0.191,31.0,3,55.57,2025-09-06,0
100100,2025-07-11,Central,Organic,Mobile,11,4,29.72,0.219,0,0.113,29.0,5,136.04,2025-12-15,0
100101,2024-08-05,West,Social,Desktop,4,3,64.22,0.119,0,0.054,17.0,17,190.88,2025-11-03,0
100102,2025-11-20,South,Referral,Tablet,5,1,26.08,0.112,1,0.281,31.0,1,24.32,2025-09-11,0
100103,2024-06-02,Central,Organic,Desktop,7,5,48.79,0.11,0,0.018,30.0,19,342.64,2025-09-26,0
100104,2025-10-27,West,Referral,Mobile,11,2,39.22,0.206,0,0.203,40.0,2,84.92,2025-12-19,0
100105,2024-08-14,West,Email,Mobile,3,2,31.67,0.162,1,0.052,-5.0,16,107.82,2025-10-27,1
100106,2025-01-29,East,Social,Desktop,8,3,74.13,0.08,0,0.115,36.0,11,256.38,2025-11-20,0
100107,2024-05-28,South,Social,Desktop,4,0,31.04,0.094,0,0.081,67.0,19,0.0,,0
100108,2025-07-11,North,Organic,Mobile,6,4,29.08,0.145,0,0.128,59.0,5,97.73,2025-10-31,0
100109,2024-08-20,Central,Email,Desktop,9,2,41.33,0.158,1,0.099,31.0,16,63.21,2025-11-24,0
100110,2025-09-29,East,Paid Search,Mobile,8,3,31.56,0.23,1,0.09,95.0,3,133.9,2025-11-11,0
100111,2024-03-01,North,Email,Mobile,6,3,40.37,0.133,1,0.1,16.0,22,128.54,2025-09-06,1
100112,2025-01-01,South,Social,Mobile,11,2,36.57,0.046,0,0.121,33.0,12,84.24,2025-11-18,1
100113,2024-04-25,East,Organic,Mobile,18,3,40.58,0.062,0,0.061,-1.0,20,115.58,2025-12-06,1
100114,2025-10-11,North,Organic,Mobile,12,3,38.54,0.059,1,0.076,20.0,2,107.89,2025-12-18,0
100115,2024-10-31,Central,Social,Desktop,6,2,34.36,0.187,0,0.197,80.0,14,94.1,2025-12-12,0
100116,2025-05-08,West,Social,Mobile,9,1,47.67,0.552,0,0.05,26.0,7,47.85,2025-12-25,0
100117,2025-10-04,West,Organic,Mobile,6,1,39.78,0.182,0,0.07,-3.0,2,35.71,2025-12-26,0
100118,2025-01-26,East,Referral,Mobile,7,4,35.06,0.216,0,0.137,57.0,11,197.43,2025-10-29,0
100119,2024-02-11,West,Referral,Mobile,11,5,65.84,0.126,0,0.185,45.0,22,527.66,2025-10-28,0
100120,2024-06-10,East,Paid Search,Mobile,14,3,37.83,0.092,0,0.208,56.0,18,133.63,2025-09-27,0
100121,2024-06-04,West,Paid Search,Mobile,12,6,57.39,0.056,1,0.048,23.0,19,542.29,2025-10-18,0
100122,2025-10-30,North,Organic,Mobile,8,2,56.25,0.113,0,0.1,10.0,2,105.15,2025-12-09,0
100123,2025-10-26,East,Referral,Desktop,8,2,66.89,0.327,0,0.142,30.0,2,171.05,2025-10-15,1
100124,2024-12-14,North,Paid Search,Desktop,11,4,57.75,0.166,1,0.13,44.0,12,283.22,2025-11-08,0
100125,2025-10-12,East,Referral,Mobile,8,2,40.27,0.165,1,0.045,29.0,2,77.84,2025-12-11,1
100126,2024-06-28,South,Paid Search,Desktop,7,1,42.29,0.217,0,0.04,45.0,18,81.6,2025-10-14,0
100127,2025-05-11,North,Social,Desktop,6,1,41.85,0.038,0,0.027,22.0,7,54.71,2025-10-14,0
100128,2024-10-13,North,Organic,Desktop,15,2,25.19,0.09,1,0.129,41.0,14,52.61,2025-11-11,0
100129,2024-06-24,East,Organic,Desktop,10,3,53.81,0.142,0,0.092,35.0,18,192.72,2025-12-12,0
100130,2024-07-01,North,Referral,Desktop,8,4,52.44,0.179,0,0.095,17.0,18,197.76,2025-12-28,0
100131,2024-11-02,Central,Paid Search,Desktop,7,1,55.96,0.113,0,0.018,38.0,14,50.31,2025-10-02,0
100132,2024-09-05,East,Paid Search,Desktop,7,0,43.86,0.356,0,0.274,25.0,16,0.0,,0
100133,2024-06-03,South,Email,Mobile,5,3,43.92,0.125,0,0.141,50.0,19,143.17,2025-11-28,0
100134,2024-09-01,East,Email,Tablet,11,2,27.47,0.085,0,0.089,57.0,16,54.51,2025-10-11,0
100135,2024-04-03,North,Referral,Mobile,6,2,30.49,0.204,0,0.1,48.0,21,96.78,2025-11-11,0
100136,2025-12-09,Central,Organic,Desktop,9,3,21.56,0.158,1,0.088,-10.0,1,63.06,2025-09-24,1
100137,2024-10-04,East,Social,Mobile,7,3,35.5,0.438,0,0.051,11.0,15,89.27,2025-11-17,0
100138,2024-03-19,West,Referral,Mobile,11,4,35.04,0.03,1,0.046,15.0,21,128.89,2025-09-15,1
100139,2025-02-24,North,Paid Search,Mobile,8,2,31.91,0.092,0,0.136,15.0,10,56.03,2025-11-17,0
100140,2025-10-07,East,Organic,Mobile,11,1,41.73,0.292,0,0.09,21.0,2,60.55,2025-12-22,0
100141,2024-09-20,East,Referral,Mobile,9,2,35.76,0.097,0,0.129,58.0,15,92.1,2025-10-06,0
100142,2025-09-09,Central,Paid Search,Mobile,6,2,25.68,0.151,1,0.174,48.0,3,72.27,2025-10-13,0
100143,2025-03-22,East,Social,Mobile,6,0,75.16,0.124,0,0.173,24.0,9,0.0,,0
100144,2025-06-24,East,Email,Mobile,17,5,37.98,0.066,1,0.175,45.0,6,213.38,2025-12-20,0
100145,2024-08-04,South,Social,Mobile,12,1,25.86,0.092,0,0.134,43.0,17,45.2,2025-10-29,0
100146,2024-01-27,South,Paid Search,Tablet,9,2,32.45,0.17,0,0.169,34.0,23,65.22,2025-10-07,0
100147,2024-09-09,East,Paid Search,Mobile,7,3,37.29,0.035,0,0.238,64.0,15,105.01,2025-11-13,1
100148,2025-11-06,East,Paid Search,Mobile,8,3,37.27,0.068,0,0.069,18.0,1,149.79,2025-11-30,1
